"detector_id","detector_type","detector_status","detector_direction","detector_movement","location_name","atd_location_id","signal_id","created_date","modified_date","ip_comm_status","comm_status_datetime_utc","location_latitude","location_longitude","LOCATION"
"2,451","LOOP","OK","NORTHBOUND","THRU / RIGHT TURN"," GREAT HILLS TRL / STONELAKE BLVD","LOC16-004155","844","2017 Jun 23 12:00:00 AM","2023 Dec 29 06:03:00 PM",,,,,"POINT (-97.739647 30.393414)"
"5,969","VIDEO","REMOVED","SOUTHBOUND","THRU / RIGHT TURN, LEFT TURN","SH 71 SVRD / 973 RD","LOC16-004325","878","2017 Sep 11 12:00:00 AM","2024 Oct 03 11:10:00 AM",,,,,"POINT (-97.63945 30.203194)"
"1,758","VIDEO","OK","NORTHBOUND","THRU / RIGHT TURN"," OLTORF ST / 5TH ST","LOC16-004640","950","2017 Jun 28 12:00:00 AM","2025 Sep 08 06:08:00 PM",,,,,"POINT (-97.764336 30.243938)"
"5,940","VIDEO","OK","EASTBOUND","LEFT TURN, THRU / RIGHT TURN"," STASSNEY LN / TERI RD","LOC16-002280","465","2017 Sep 11 12:00:00 AM","2023 Nov 12 04:53:00 PM",,,,,"POINT (-97.731155 30.191292)"
"2,114","VIDEO","BROKEN","NORTHBOUND","THRU / RIGHT TURN","IH 35 SVRD / WOODWARD ST","LOC16-002480","507","2017 Jun 26 12:00:00 AM","2025 Mar 26 07:41:00 PM",,,,,"POINT (-97.747688 30.22349)"
"7,197","VIDEO","OK","SOUTHBOUND","THRU / LEFT TURN"," DEAN KEETON ST / SPEEDWAY ","LOC16-000270","55","2020 Jun 17 12:00:00 AM","2025 Feb 25 09:28:00 PM",,,,,"POINT (-97.736809 30.289457)"
"755","VIDEO","OK","SOUTHBOUND","LEFT TURN, RIGHT TURN"," RIVERSIDE DR / SOUTH LAKESHORE BLVD","LOC16-001900","388",,"2025 Jun 16 12:44:00 PM",,,,,"POINT (-97.730347 30.244844)"
"5,555","VIDEO","OK","EASTBOUND","THRU / RIGHT TURN"," KOENIG LN / LAMAR BLVD","LOC16-000020","5","2017 Jun 14 12:00:00 AM","2025 Mar 20 08:39:00 PM",,,,,"POINT (-97.726334 30.325943)"
"3,682","LOOP","REMOVED","NORTHBOUND","THRU / RIGHT TURN","FM 969 RD / ED BLUESTEIN BLVD SVRD (Martin Luther King Jr Blvd / US 183)","LOC16-003120","635","2017 Jun 19 12:00:00 AM","2020 Jun 23 08:30:00 PM",,,,,"POINT (-97.664047 30.285421)"
"5,828","VIDEO","OK","SOUTHBOUND","LEFT TURN, THRU / RIGHT TURN","5701 BLK MC NEIL DR (YMCA)","LOC16-003285","838","2017 Sep 11 12:00:00 AM","2025 Apr 09 12:11:00 PM",,,,,"POINT (-97.734291 30.4464)"
"3,361","LOOP","REMOVED","SOUTHBOUND","LEFT TURN"," OAK KNOLL DR / RESEARCH BLVD SVRD","LOC16-003385","687","2017 Jun 22 12:00:00 AM","2021 Dec 29 12:34:00 AM",,,,,"POINT (-97.75946 30.428883)"
"1,939","LOOP","REMOVED","EASTBOUND","THRU / RIGHT TURN","1100 BLK W 45TH ST (TEXAS SCHOOL FOR THE BLIND)","LOC16-004485","910","2017 Jun 26 12:00:00 AM","2022 Dec 14 05:03:00 PM",,,,,"POINT (-97.739349 30.314329)"
"5,360","LOOP","OK","SOUTHBOUND","THRU / RIGHT TURN"," MARTIN LUTHER KING JR BLVD / CHESTNUT AVE","LOC16-000255","52","2017 Jun 14 12:00:00 AM","2025 Apr 14 06:53:00 PM",,,,,"POINT (-97.71727 30.280438)"
"6,378","VIDEO","OK","WESTBOUND","LEFT TURN, THRU / RIGHT TURN"," CAMERON RD / CROSS PARK DR","LOC16-004650","952","2018 May 14 12:00:00 AM","2024 Dec 17 09:53:00 PM",,,,,"POINT (-97.678337 30.343981)"
"5,955","VIDEO","OK","EASTBOUND","THRU / RIGHT TURN, LEFT TURN"," METRIC BLVD / CHASEWOOD DR","LOC16-004295","872","2017 Sep 11 12:00:00 AM","2023 Dec 22 03:09:00 PM",,,,,"POINT (-97.682571 30.422298)"
"6,801","VIDEO","REMOVED","WESTBOUND","LEFT TURN, THRU / RIGHT TURN"," 11TH ST / 35 SVRD","LOC16-001670","341","2019 Apr 04 12:00:00 AM","2022 Jul 13 03:22:00 PM",,,,,"POINT (-97.732475 30.270329)"
